node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,osm_node_id,railway,level_crossing,access,description,,
60,,-87.627895,41.651101,,,0,"POINT (-87.627895 41.651101)",711102710,,,,,,
61,,-87.626027,41.651093,,,0,"POINT (-87.626027 41.651093)",711102712,,,,,,
62,,-87.625868,41.651094,,,0,"POINT (-87.625868 41.651094)",711102713,,,,,,
63,,-87.625770,41.651102,,,0,"POINT (-87.625770 41.651102)",711102715,,,,,,
64,,-87.625664,41.651127,,,0,"POINT (-87.625664 41.651127)",711102717,,,,,,
65,,-87.625566,41.651158,,,0,"POINT (-87.625566 41.651158)",711102719,,,,,,
66,,-87.625479,41.651198,,,0,"POINT (-87.625479 41.651198)",711102721,,,,,,
67,,-87.625389,41.651259,,,0,"POINT (-87.625389 41.651259)",711102723,,,,,,
68,,-87.625309,41.651328,,,0,"POINT (-87.625309 41.651328)",711102726,,,,,,
69,,-87.625257,41.651393,,,0,"POINT (-87.625257 41.651393)",711102728,,,,,,
70,,-87.625224,41.651452,,,0,"POINT (-87.625224 41.651452)",711102730,,,,,,
71,,-87.625184,41.651586,,,0,"POINT (-87.625184 41.651586)",711102732,,,,,,
72,,-87.625182,41.651660,,,0,"POINT (-87.625182 41.651660)",711102734,,,,,,
73,,-87.625194,41.651731,,,0,"POINT (-87.625194 41.651731)",711102736,,,,,,
74,,-87.625214,41.651801,,,0,"POINT (-87.625214 41.651801)",711102738,,,,,,
75,,-87.625258,41.651879,,,0,"POINT (-87.625258 41.651879)",711102743,,,,,,
76,,-87.625320,41.651953,,,0,"POINT (-87.625320 41.651953)",711102744,,,,,,
77,,-87.621056,41.648145,,,0,"POINT (-87.621056 41.648145)",711102803,,,,,,
78,,-87.621154,41.648221,,,0,"POINT (-87.621154 41.648221)",711102804,,,,,,
79,,-87.621262,41.648301,,,0,"POINT (-87.621262 41.648301)",711102805,,,,,,
80,,-87.621423,41.648413,,,0,"POINT (-87.621423 41.648413)",711102806,,,,,,
81,,-87.621585,41.648513,,,0,"POINT (-87.621585 41.648513)",711102807,,,,,,
82,,-87.621754,41.648619,,,0,"POINT (-87.621754 41.648619)",711102808,,,,,,
83,,-87.621927,41.648737,,,0,"POINT (-87.621927 41.648737)",711102809,,,,,,
84,,-87.622081,41.648858,,,0,"POINT (-87.622081 41.648858)",711102810,,,,,,
85,,-87.622216,41.648978,,,0,"POINT (-87.622216 41.648978)",711102811,,,,,,
86,,-87.622404,41.649157,,,0,"POINT (-87.622404 41.649157)",711102812,,,,,,
87,,-87.622654,41.649397,,,0,"POINT (-87.622654 41.649397)",711102814,,,,,,
88,,-87.623053,41.649780,,,0,"POINT (-87.623053 41.649780)",711102816,,,,,,
89,,-87.623354,41.650069,,,0,"POINT (-87.623354 41.650069)",711102818,,,,,,
90,,-87.623847,41.650541,,,0,"POINT (-87.623847 41.650541)",711102820,,,,,,
91,,-87.624050,41.650736,,,0,"POINT (-87.624050 41.650736)",711102822,,,,,,
92,,-87.624125,41.650813,,,0,"POINT (-87.624125 41.650813)",711102823,,,,,,
93,,-87.624266,41.650979,,,0,"POINT (-87.624266 41.650979)",711102824,,,,,,
94,,-87.624352,41.651074,,,0,"POINT (-87.624352 41.651074)",711102825,,,,,,
95,,-87.624486,41.651202,,,0,"POINT (-87.624486 41.651202)",711102826,,,,,,
96,,-87.624676,41.651384,,,0,"POINT (-87.624676 41.651384)",711102827,,,,,,
97,,-87.624761,41.651472,,,0,"POINT (-87.624761 41.651472)",711102848,,,,,,
98,,-87.624852,41.651579,,,0,"POINT (-87.624852 41.651579)",711102850,,,,,,
99,,-87.631605,41.651677,,,0,"POINT (-87.631605 41.651677)",711102955,switch,,,,,
100,,-87.631799,41.651671,,,0,"POINT (-87.631799 41.651671)",711102957,,,,,,
101,,-87.631929,41.651658,,,0,"POINT (-87.631929 41.651658)",711102959,,,,,,
102,,-87.632040,41.651645,,,0,"POINT (-87.632040 41.651645)",711102960,,,,,,
103,,-87.632108,41.651632,,,0,"POINT (-87.632108 41.651632)",711102962,,,,,,
104,,-87.632169,41.651615,,,0,"POINT (-87.632169 41.651615)",711102964,,,,,,
105,,-87.633839,41.651675,,,0,"POINT (-87.633839 41.651675)",711103135,,,,,,
