mode,route_id,o_zone_id,d_zone_id,unique_route_id,prob,node_ids,link_ids,distance_mile,total_distance_km,total_free_flow_travel_time,total_travel_time,route_key,volume,
sov,0,6,29,1,1,6;53;64;63;358;213;349;208;366;29,17;104;126;123;531;309;499;305;557,0.555656,0.89405,1.26457,1.26457,1709_2571,5.2448
sov,0,6,30,1,1,6;52;161;316;160;31;30,16;102;260;454;257;57,0.263897,0.42461,0.561508,0.561508,756_1146,15.7345
sov,0,7,2,1,1,7;239;351;115;358;213;349;2,20;347;503;204;531;309;497,0.303456,0.48826,0.61855,0.618554,1634_2411,5.0506
sov,0,7,5,1,1,7;239;351;357;354;107;64;5,20;347;506;528;515;195;124,0.420193,0.67609,0.825061,0.825062,1484_2235,3.367
sov,0,7,6,1,1,7;239;351;357;354;355;53;6,20;347;506;528;517;519;103,0.515594,0.82959,0.987884,0.987886,1722_2540,5.0506
sov,0,7,8,1,1,7;8,18,0.0970541,0.15616,0.31232,0.31232,15_18,1.6835
sov,0,7,15,1,1,7;239;351;352;207;353;65;110;196;180;350;15,20;347;505;508;304;513;129;201;294;279;501,0.589167,0.94797,1.03116,1.03116,2425_3601,3.367
sov,0,7,16,1,1,7;239;351;352;207;353;65;110;196;180;55;153;177;359;60;16,20;347;505;508;304;513;129;201;294;278;107;249;274;533;117,0.709366,1.14137,1.53389,1.53389,2880_4379,3.367
sov,0,7,18,1,1,7;239;351;115;358;213;349;208;366;217;220;18,20;347;503;204;531;309;499;305;560;313;316,0.383785,0.61751,0.738453,0.738453,2661_3907,1.6835
sov,0,7,23,1,1,7;239;351;352;207;353;23,20;347;505;508;304;511,0.33647,0.54138,0.741358,0.741359,1532_2195,3.367
sov,0,7,25,1,1,7;239;351;352;207;353;65;110;196;180;55;153;177;359;80;25,20;347;505;508;304;513;129;201;294;278;107;249;274;535;149,0.636687,1.02443,1.18859,1.18859,2909_4413,1.6835
