o_zone_id,d_zone_id,volume
2,3,15.7345
2,3,15.7345
2,3,15.7345
2,3,15.7345
2,3,15.7345
2,3,15.7345
2,3,15.7345
2,3,15.7345
2,4,10.4896
2,4,10.4896
2,4,10.4896
2,4,10.4896
2,4,10.4896
2,4,10.4896
2,4,10.4896
2,4,10.4896
2,5,10.4896
2,5,10.4896
2,5,10.4896
2,5,10.4896
2,5,10.4896
2,5,10.4896
2,5,10.4896
2,5,10.4896
2,6,15.7345
2,6,15.7345
2,6,15.7345
2,6,15.7345
2,6,15.7345
2,6,15.7345
2,6,15.7345
2,6,15.7345
2,7,5.2448
2,7,5.2448
2,7,5.2448
2,7,5.2448
2,7,5.2448
2,7,5.2448
2,7,5.2448
2,7,5.2448
2,8,5.2448
2,8,5.2448
2,8,5.2448
2,8,5.2448
2,8,5.2448
2,8,5.2448
2,8,5.2448
2,8,5.2448
2,9,10.4896
2,9,10.4896
2,9,10.4896
2,9,10.4896
2,9,10.4896
2,9,10.4896
2,9,10.4896
2,9,10.4896
2,10,5.2448
2,10,5.2448
2,10,5.2448
2,10,5.2448
2,10,5.2448
2,10,5.2448
2,10,5.2448
2,10,5.2448
2,11,5.2448
2,11,5.2448
2,11,5.2448
2,11,5.2448
2,11,5.2448
2,11,5.2448
2,11,5.2448
2,11,5.2448
2,12,10.4896
2,12,10.4896
2,12,10.4896
2,12,10.4896
2,12,10.4896
2,12,10.4896
2,12,10.4896
2,12,10.4896
2,13,5.2448
2,13,5.2448
2,13,5.2448
2,13,5.2448
2,13,5.2448
2,13,5.2448
2,13,5.2448
2,13,5.2448
2,14,5.2448
2,14,5.2448
2,14,5.2448
2,14,5.2448
2,14,5.2448
2,14,5.2448
2,14,5.2448
2,14,5.2448
2,15,10.4896
2,15,10.4896
2,15,10.4896
2,15,10.4896
2,15,10.4896
2,15,10.4896
2,15,10.4896
2,15,10.4896
2,16,10.4896
2,16,10.4896
2,16,10.4896
2,16,10.4896
2,16,10.4896
2,16,10.4896
2,16,10.4896
2,16,10.4896
2,17,31.4683
2,17,31.4683
2,17,31.4683
2,17,31.4683
2,17,31.4683
2,17,31.4683
2,17,31.4683
2,17,31.4683
2,18,5.2448
2,18,5.2448
2,18,5.2448
2,18,5.2448
2,18,5.2448
2,18,5.2448
2,18,5.2448
2,18,5.2448
2,19,5.2448
2,19,5.2448
2,19,5.2448
2,19,5.2448
2,19,5.2448
2,19,5.2448
2,19,5.2448
2,19,5.2448
2,20,10.4896
2,20,10.4896
2,20,10.4896
2,20,10.4896
2,20,10.4896
2,20,10.4896
2,20,10.4896
2,20,10.4896
2,21,15.7345
2,21,15.7345
2,21,15.7345
2,21,15.7345
2,21,15.7345
2,21,15.7345
2,21,15.7345
2,21,15.7345
2,22,15.7345
2,22,15.7345
2,22,15.7345
2,22,15.7345
2,22,15.7345
2,22,15.7345
2,22,15.7345
2,22,15.7345
2,23,10.4896
2,23,10.4896
2,23,10.4896
2,23,10.4896
2,23,10.4896
2,23,10.4896
2,23,10.4896
2,23,10.4896
2,24,5.2448
2,24,5.2448
2,24,5.2448
2,24,5.2448
2,24,5.2448
2,24,5.2448
2,24,5.2448
2,24,5.2448
2,25,5.2448
2,25,5.2448
2,25,5.2448
2,25,5.2448
2,25,5.2448
2,25,5.2448
2,25,5.2448
2,25,5.2448
2,26,5.2448
2,26,5.2448
2,26,5.2448
2,26,5.2448
2,26,5.2448
2,26,5.2448
2,26,5.2448
2,26,5.2448
2,27,5.2448
2,27,5.2448
2,27,5.2448
2,27,5.2448
2,27,5.2448
2,27,5.2448
2,27,5.2448
2,27,5.2448
2,28,10.4896
2,28,10.4896
2,28,10.4896
2,28,10.4896
2,28,10.4896
2,28,10.4896
2,28,10.4896
2,28,10.4896
2,29,5.2448
2,29,5.2448
2,29,5.2448
2,29,5.2448
2,29,5.2448
2,29,5.2448
2,29,5.2448
2,29,5.2448
2,30,15.7345
2,30,15.7345
2,30,15.7345
2,30,15.7345
2,30,15.7345
2,30,15.7345
2,30,15.7345
2,30,15.7345
3,2,15.7345
3,2,15.7345
3,2,15.7345
3,2,15.7345
3,2,15.7345
3,2,15.7345
3,2,15.7345
3,2,15.7345
3,4,10.4896
3,4,10.4896
3,4,10.4896
3,4,10.4896
3,4,10.4896
3,4,10.4896
3,4,10.4896
3,4,10.4896
3,5,10.4896
3,5,10.4896
3,5,10.4896
3,5,10.4896
3,5,10.4896
3,5,10.4896
3,5,10.4896
3,5,10.4896
3,6,15.7345
3,6,15.7345
3,6,15.7345
3,6,15.7345
3,6,15.7345
3,6,15.7345
3,6,15.7345
3,6,15.7345
3,7,5.2448
3,7,5.2448
3,7,5.2448
3,7,5.2448
3,7,5.2448
3,7,5.2448
3,7,5.2448
3,7,5.2448
3,8,5.2448
3,8,5.2448
3,8,5.2448
3,8,5.2448
3,8,5.2448
3,8,5.2448
3,8,5.2448
3,8,5.2448
3,9,10.4896
3,9,10.4896
3,9,10.4896
3,9,10.4896
3,9,10.4896
3,9,10.4896
3,9,10.4896
3,9,10.4896
3,10,5.2448
3,10,5.2448
3,10,5.2448
3,10,5.2448
3,10,5.2448
3,10,5.2448
3,10,5.2448
3,10,5.2448
3,11,5.2448
3,11,5.2448
3,11,5.2448
3,11,5.2448
3,11,5.2448
3,11,5.2448
3,11,5.2448
3,11,5.2448
3,12,10.4896
3,12,10.4896
3,12,10.4896
3,12,10.4896
3,12,10.4896
3,12,10.4896
3,12,10.4896
3,12,10.4896
3,13,5.2448
3,13,5.2448
3,13,5.2448
3,13,5.2448
3,13,5.2448
3,13,5.2448
3,13,5.2448
3,13,5.2448
3,14,5.2448
3,14,5.2448
3,14,5.2448
3,14,5.2448
3,14,5.2448
3,14,5.2448
3,14,5.2448
3,14,5.2448
3,15,10.4896
3,15,10.4896
3,15,10.4896
3,15,10.4896
3,15,10.4896
3,15,10.4896
3,15,10.4896
3,15,10.4896
3,16,10.4896
3,16,10.4896
3,16,10.4896
3,16,10.4896
3,16,10.4896
3,16,10.4896
3,16,10.4896
3,16,10.4896
3,17,31.4683
3,17,31.4683
3,17,31.4683
3,17,31.4683
3,17,31.4683
3,17,31.4683
3,17,31.4683
3,17,31.4683
3,18,5.2448
3,18,5.2448
3,18,5.2448
3,18,5.2448
3,18,5.2448
3,18,5.2448
3,18,5.2448
3,18,5.2448
3,19,5.2448
3,19,5.2448
3,19,5.2448
3,19,5.2448
3,19,5.2448
3,19,5.2448
3,19,5.2448
3,19,5.2448
3,20,10.4896
3,20,10.4896
3,20,10.4896
3,20,10.4896
3,20,10.4896
3,20,10.4896
3,20,10.4896
3,20,10.4896
3,21,15.7345
3,21,15.7345
3,21,15.7345
3,21,15.7345
3,21,15.7345
3,21,15.7345
3,21,15.7345
3,21,15.7345
3,22,15.7345
3,22,15.7345
3,22,15.7345
3,22,15.7345
3,22,15.7345
3,22,15.7345
3,22,15.7345
3,22,15.7345
3,23,10.4896
3,23,10.4896
3,23,10.4896
3,23,10.4896
3,23,10.4896
3,23,10.4896
3,23,10.4896
3,23,10.4896
3,24,5.2448
3,24,5.2448
3,24,5.2448
3,24,5.2448
3,24,5.2448
3,24,5.2448
3,24,5.2448
3,24,5.2448
3,25,5.2448
3,25,5.2448
3,25,5.2448
3,25,5.2448
3,25,5.2448
3,25,5.2448
3,25,5.2448
3,25,5.2448
3,26,5.2448
3,26,5.2448
3,26,5.2448
3,26,5.2448
3,26,5.2448
3,26,5.2448
3,26,5.2448
3,26,5.2448
3,27,5.2448
3,27,5.2448
3,27,5.2448
3,27,5.2448
3,27,5.2448
3,27,5.2448
3,27,5.2448
3,27,5.2448
3,28,10.4896
3,28,10.4896
3,28,10.4896
