full_id,osm_id,osm_type,highway,name,name:en,name:zh,oneway,name:ru,name:vi,name:zh-Hans,name:zh_pinyin,lanes,int_name,surface,lit,bridge,layer,trolley_wire,ref,alt_name,alt_name:en,bicycle,junction,cycleway:right,designation,name:fr,foot,maxspeed,maxheight,horse,oneway:hour_off,oneway:hour_on,oneway:psv,alt_name:zh_pinyin,wikipedia,cycleway,maxaxleload,maxweight,name:zh-Hant,bridge:name,access,psv,roundabout,local_name,tunnel,cutting,bridge_name,int_ref,tunnel:name,motor_vehicle
w229775864,"229775864",way,primary,地安门西大街,Di'anmen West Street,,yes,,,,Dì'ānmén Xīdàjiē,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w229775895,"229775895",way,primary,东四南大街,S. Dongsi Str,,,,,,,,Dongsi Nandajie,asphalt,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w229781330,"229781330",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,"3.5",,,,,,,,,,,,,,,,,,,,,
w230625977,"230625977",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230625982,"230625982",way,primary,长虹路,,,yes,,,,,,,,,,,,S316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230625983,"230625983",way,primary,长虹东路,,,yes,,,,,,,,,,"-1",,S316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627577,"230627577",way,primary,星光路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627584,"230627584",way,primary,星光路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627586,"230627586",way,primary,京周路,,,yes,,,,,,,,,,,,S317,月华大街,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627587,"230627587",way,primary,京周路,,,yes,,,,,,,,,,,,S317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627588,"230627588",way,primary,京周路,,,yes,,,,,,,,,,,,S317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627589,"230627589",way,primary,京周路,,,yes,,,,,,,,,,,,S317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627590,"230627590",way,primary,京周路,,,yes,,,,,,,,,,,,S317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627591,"230627591",way,primary,京周路,,,yes,,,,,"3",,,,,,,S317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627592,"230627592",way,primary,京周路,,,yes,,,,,,,,,,,,S317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627593,"230627593",way,primary,京周路,,,yes,,,,,,,,,,,,S317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627595,"230627595",way,primary,紫元立交桥,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,"12","30",,,,,,,,,,,,
w230627596,"230627596",way,primary,铁路跨线桥,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,"12","30",,,,,,,,,,,,
w230627597,"230627597",way,primary,长虹路,,,yes,,,,,,,,,,,,S316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230627598,"230627598",way,primary,长虹路,,,yes,,,,,,,,,,,,S316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230629102,"230629102",way,primary,京周路,,,yes,,,,,,,,,,,,S317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230629103,"230629103",way,primary,京周路,,,yes,,,,,,,,,,,,S317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230638946,"230638946",way,primary,京周路,,,yes,,,,,,,,,,,,S317,月华大街,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w230638948,"230638948",way,primary,大件路,,,yes,,,,,,,,,,,,S326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w232400536,"232400536",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w232400540,"232400540",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w232497444,"232497444",way,primary,安四路,,,yes,,,,,,,,,,,,S213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w232497447,"232497447",way,primary,安四路,,,,,,,,,,,,,,,S213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w232497451,"232497451",way,primary,安四路支路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w232593792,"232593792",way,primary,回龙观西大街,,,yes,,,,,,Hui Long Guan Xi Jie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w233756369,"233756369",way,primary,中关村大街,Zhongguancun Main Street,中关村大街,yes,,,,Zhōngguāncūn dàjiē,"3",,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,
w234076087,"234076087",way,primary,立汤路,Litang road,立汤路,yes,,,,lìtāng lù,,,,,,,,S213,,,,,,,Route Lìtāng,,,,,,,,,,,,,,,,,,,,,,,,
w234194885,"234194885",way,primary,西长安街,West Chang'an Street,西长安街,yes,улица Си-Чанъаньцзе,,西长安街,Xī-Cháng'ān-jiē,,,,,,,,,,,,,,,Rue Cháng'ān Ouest,,,,,,,,,,,,,,,,,,,,,,,,
w234442007,"234442007",way,primary,G6辅路,,,yes,,,,,,,,,,,,S216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w234957710,"234957710",way,primary,石景山路,,,yes,,,,,,Shijingshan Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w234961308,"234961308",way,primary,阜石路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w235270873,"235270873",way,primary,地安门西大街,Di'anmen West Street,,yes,,,,Dì'ānmén Xīdàjiē,,,asphalt,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w235466190,"235466190",way,primary,中关村北大街,Zhongguancun North Street,中关村北大街,,,,,Zhōngguāncūn běidàjiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,designated,yes,,,,,,,,
w236203851,"236203851",way,primary,旱河路,,,yes,,,,,,Hanhe Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236209400,"236209400",way,primary,旱河路,,,yes,,,,,,Hanhe Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236209403,"236209403",way,primary,旱河路,,,yes,,,,,,Hanhe Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236209406,"236209406",way,primary,旱河路,,,yes,,,,,,Hanhe Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236209408,"236209408",way,primary,旱河路,,,yes,,,,,,Hanhe Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236209410,"236209410",way,primary,旱河路,,,yes,,,,,,Hanhe Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236220738,"236220738",way,primary,玲珑路,Linglong Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236220748,"236220748",way,primary,玲珑路,Linglong Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236220751,"236220751",way,primary,杏石口路,Xing Shi Kou Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236220784,"236220784",way,primary,旱河路,,,yes,,,,,,Hanhe Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236220795,"236220795",way,primary,阜成门内大街,Inner Fuchengmen Str,,yes,,,,,,Fuchengmen Neidajie,asphalt,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236220798,"236220798",way,primary,首都体育馆南路,South Capital Sport Stadium Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236355181,"236355181",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236411940,"236411940",way,primary,,,,yes,,,,,"3",,,,,,,,,,,,,,,,,,,,,,Jingmi Lu,,,,,,,,,,,,,,,,
w236411941,"236411941",way,primary,新南路,,,yes,,,,,"2",,,,,,,X043,,,,,track,,,,,,,,,,Jingmi Lu,,,,,,,,,,,,,,,,
w236816391,"236816391",way,primary,采廊路,,,yes,,,,,"2",,,,,,,X007,,,,,,,,,"70",,,,,,,,,,,,,,,,,,,,,,
