name,link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type,link_type_name,geometry
500 West,246,10851,6273,1,0.0461,1,24,633,1,,"LINESTRING(-111.90613 40.597034,-111.905677 40.596462)"
500 West,247,10851,10852,1,0.1884,1,24,633,1,,"LINESTRING(-111.90613 40.597034,-111.909246 40.598382)"
500 West,248,10852,5106,1,0.0551,1,24,633,1,,"LINESTRING(-111.909246 40.598382,-111.910268 40.598557)"
500 West,249,10852,10851,1,0.1884,1,24,633,1,,"LINESTRING(-111.909246 40.598382,-111.90613 40.597034)"
Connector,250,10853,1325,1,0.1583,7,20,10000,2,,"LINESTRING(-111.904442 40.592385,-111.907451 40.592344)"
500 West,251,10853,6270,1,0.1007,1,24,633,1,,"LINESTRING(-111.904442 40.592385,-111.904847 40.593812)"
500 West,252,10853,11910,1,0.166,1,24,633,1,,"LINESTRING(-111.904442 40.592385,-111.904258 40.589983)"
500 West,253,10854,5118,1,0.0913,1,24,633,1,,"LINESTRING(-111.904193 40.586691,-111.90426 40.588014)"
500 West,254,10854,7210,1,0.0658,1,24,633,1,,"LINESTRING(-111.904193 40.586691,-111.904821 40.585866)"
1000 West,255,10857,5587,1,0.1459,1,26,514,1,,"LINESTRING(-111.919656 40.562402,-111.91926 40.560309)"
1000 West,256,10857,6255,1,0.2393,1,26,514,1,,"LINESTRING(-111.919656 40.562402,-111.919626 40.565871)"
7000 South,257,10872,5030,1,0.18159,2,36,814,1,,"LINESTRING(-111.913107 40.621094,-111.909957 40.621262)"
7000 South,258,10872,5861,1,0.1205,2,36,814,1,,"LINESTRING(-111.913107 40.621094,-111.915194 40.621817)"
7800 South,259,11123,5017,1,0.2622,2,36,814,1,,"LINESTRING(-111.943739 40.60952,-111.938751 40.609517)"
Connector,260,11124,1289,1,0.5069,7,21,10000,2,,"LINESTRING(-111.931819 40.609526,-111.933868 40.616707)"
Connector,261,11124,1319,1,0.2054,7,21,10000,2,,"LINESTRING(-111.931819 40.609526,-111.934408 40.607297)"
7800 South,262,11124,5017,1,0.3644,2,36,814,1,,"LINESTRING(-111.931819 40.609526,-111.938751 40.609517)"
7800 South,263,11124,5022,1,0.1398,2,36,814,1,,"LINESTRING(-111.931819 40.609526,-111.929163 40.609415)"
Connector,264,11125,1286,1,0.466,7,21,10000,2,,"LINESTRING(-111.93397 40.624024,-111.934202 40.630776)"
Connector,265,11125,1289,1,0.5047,7,21,10000,2,,"LINESTRING(-111.93397 40.624024,-111.933868 40.616707)"
7000 South,266,11125,5436,1,0.2509,2,36,814,1,,"LINESTRING(-111.93397 40.624024,-111.938742 40.624085)"
7000 South,267,11125,5440,1,0.27677,2,36,814,1,,"LINESTRING(-111.93397 40.624024,-111.929192 40.623484)"
7000 South,268,11126,5441,1,0.11932,2,36,814,1,,"LINESTRING(-111.918637 40.623724,-111.916854 40.622667)"
7000 South,269,11126,11127,1,0.3179,2,36,814,1,,"LINESTRING(-111.918637 40.623724,-111.924686 40.623746)"
7000 South,270,11127,5440,1,0.25977,2,36,814,1,,"LINESTRING(-111.924686 40.623746,-111.929192 40.623484)"
7000 South,271,11127,11126,1,0.3179,2,36,814,1,,"LINESTRING(-111.924686 40.623746,-111.918637 40.623724)"
7200 South,272,11128,5030,1,0.13451,2,29,814,1,,"LINESTRING(-111.907655 40.620856,-111.909957 40.621262)"
7200 South,273,11128,5037,1,0.33214,2,29,814,1,,"LINESTRING(-111.907655 40.620856,-111.901884 40.620828)"
Connector,274,11129,1299,1,0.3637,7,21,10000,2,,"LINESTRING(-111.907639 40.610911,-111.908054 40.616174)"
Center St,275,11129,5027,1,0.1417,2,36,814,1,,"LINESTRING(-111.907639 40.610911,-111.910314 40.610655)"
Center St,276,11129,5034,1,0.27834,2,36,814,1,,"LINESTRING(-111.907639 40.610911,-111.902804 40.610814)"
Connector,277,11146,1314,1,0.2758,7,21,10000,2,,"LINESTRING(-111.938858 40.605898,-111.944074 40.606326)"
Redwood Rd,278,11146,5017,1,0.2497,3,43,854,1,,"LINESTRING(-111.938858 40.605898,-111.938751 40.609517)"
Redwood Rd,279,11146,5736,1,0.2454,3,43,854,1,,"LINESTRING(-111.938858 40.605898,-111.938695 40.602343)"
1300 West,280,11147,5022,1,0.119,1,32,666,1,,"LINESTRING(-111.929235 40.607691,-111.929163 40.609415)"
1300 West,281,11147,5820,1,0.3015,1,32,666,1,,"LINESTRING(-111.929235 40.607691,-111.929267 40.603321)"
Connector,282,11148,1316,1,0.2608,7,21,10000,2,,"LINESTRING(-111.938793 40.599039,-111.943565 40.598006)"
Connector,283,11148,1320,1,0.2527,7,21,10000,2,,"LINESTRING(-111.938793 40.599039,-111.934152 40.599993)"
Redwood Rd,284,11148,5113,1,0.3466,3,43,854,1,,"LINESTRING(-111.938793 40.599039,-111.93877 40.594013)"
Redwood Rd,285,11148,5736,1,0.228,3,43,854,1,,"LINESTRING(-111.938793 40.599039,-111.938695 40.602343)"
700 West,286,11150,5027,1,0.2378,1,29,666,1,,"LINESTRING(-111.910332 40.607207,-111.910314 40.610655)"
700 West,287,11150,5109,1,0.0875,1,29,666,1,,"LINESTRING(-111.910332 40.607207,-111.910315 40.605939)"
8000 South,288,11151,5109,1,0.1948,1,26,514,1,,"LINESTRING(-111.90661 40.60596,-111.910315 40.605939)"
9000 South,289,11159,5112,1,0.2563,2,39,892,1,,"LINESTRING(-111.943604 40.587762,-111.93873 40.587762)"
Connector,290,11160,1318,1,0.2384,7,21,10000,2,,"LINESTRING(-111.938878 40.590844,-111.943411 40.590891)"
Redwood Rd,291,11160,5112,1,0.2128,3,43,854,1,,"LINESTRING(-111.938878 40.590844,-111.93873 40.587762)"
Redwood Rd,292,11160,5113,1,0.2187,3,43,854,1,,"LINESTRING(-111.938878 40.590844,-111.93877 40.594013)"
Connector,293,11161,1322,1,0.267,7,21,10000,2,,"LINESTRING(-111.929272 40.591047,-111.934349 40.591006)"
1300 West,294,11161,5103,1,0.2721,1,32,666,1,,"LINESTRING(-111.929272 40.591047,-111.929223 40.594991)"
1300 West,295,11161,5114,1,0.2244,1,32,666,1,,"LINESTRING(-111.929272 40.591047,-111.929195 40.587794)"
Connector,296,11172,1346,1,0.2518,7,21,10000,2,,"LINESTRING(-111.938819 40.584171,-111.943605 40.584092)"
Connector,297,11172,1353,1,0.2395,7,21,10000,2,,"LINESTRING(-111.938819 40.584171,-111.934266 40.584068)"
Redwood Rd,298,11172,5112,1,0.2477,2,39,892,1,,"LINESTRING(-111.938819 40.584171,-111.93873 40.587762)"
