name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,3529,351919957,,,,,residential,0,-111.7957926,33.5815411,,,
,3530,3934208107,,,,,residential,2,-111.7965943,33.5812551,,,
,3531,351919987,,,,,residential,0,-111.7964355,33.5813104,,,
,3532,351920287,turning_circle,,,,residential,2,-111.8095973,33.5813611,,,
,3533,351920688,turning_circle,,,,residential,2,-111.7998591,33.5724855,,,
,3534,351924621,,,,,residential,0,-111.7914839,33.5802667,,,
,3535,3938301586,,,,,residential,0,-111.7915038,33.5814776,,,
,3536,3771834843,,,,,residential,2,-111.7881416,33.5814388,,,
,3537,351924900,,,,,residential,0,-111.788277,33.5814725,,,
,3538,3934208089,,,,,residential,2,-111.7923364,33.5814964,,,
,3539,351924966,,,,,residential,0,-111.7924613,33.5815433,,,
,3540,3934207042,,,,,residential,2,-111.7905602,33.5816329,,,
,3541,351925164,,,,,residential,0,-111.7904885,33.5816617,,,
,3542,357809948,turning_circle,,,,residential,0,-111.8660045,33.6143585,,,
,3543,357809953,,,,,residential,0,-111.8677524,33.614206,,,
,3544,357810012,turning_circle,,,,residential,2,-111.8682444,33.614305,,,
,3545,357810425,turning_circle,,,,residential,2,-111.8656528,33.611951,,,
,3546,357810426,,,,,residential,0,-111.866367,33.6119088,,,
,3547,357810427,,,,,residential,0,-111.8680803,33.6119105,,,
,3548,357810429,turning_circle,,,,residential,0,-111.8686701,33.6119217,,,
,3549,357810770,turning_circle,,,,residential,2,-111.8682078,33.613024,,,
,3550,357810771,turning_circle,,,,residential,0,-111.8686746,33.6130792,,,
,3551,357810845,,,,,residential,0,-111.8686913,33.6127729,,,
,3552,357810947,,,,,residential,0,-111.8680623,33.6108517,,,
,3553,357811032,turning_circle,,,,residential,2,-111.8692192,33.6109096,,,
,3554,357811034,,,,,residential,0,-111.8675414,33.610851,,,
,3555,2390964869,,,,,secondary,0,-111.8656495,33.6124409,,,
,3556,316709223,,,,,secondary,0,-111.866295,33.6125093,,,
,3557,357811397,turning_circle,,,,residential,0,-111.8675579,33.608749,,,
,3558,357811398,,,,,residential,0,-111.8675378,33.6097888,,,
,3559,357811667,turning_circle,,,,residential,2,-111.8691658,33.6087795,,,
,3560,357811776,turning_circle,,,,residential,2,-111.8691991,33.6097271,,,
,3561,357816535,turning_circle,,,,residential,2,-111.8780109,33.6055751,,,
,3562,358008132,turning_circle,,,,residential,2,-111.8620707,33.6089635,,,
,3563,358008140,turning_circle,,,,residential,2,-111.8629082,33.6093394,,,
,3564,358008617,turning_circle,,,,residential,2,-111.861541,33.6047423,,,
